"name_1","description_1","coding_1","panel","homogenized_name","homogenized_coding","homogenized_description"
"rn","Name of car","NA","MTCARS_PANEL","name","NA","Name of Car"
"mpg","Miles per gallon","NA","MTCARS_PANEL","mpg","NA","Miles per gallon"
"cyl","Number of cylinders","NA","MTCARS_PANEL","cyl","NA","Number of cylinders"
"disp","Displacement","NA","MTCARS_PANEL","disp","NA","Displacement"
"hp","Gross horsepower","NA","MTCARS_PANEL","hp","NA","Gross horsepower"
"drat","Rear axle ratio","NA","MTCARS_PANEL","drat","NA","Rear axle ratio"
"wt","Weight","NA","MTCARS_PANEL","wt","NA","Weight"
"qsec","Quarter mile time","NA","MTCARS_PANEL","qsec","NA","Quarter mile time"
"vs","Engine","coding(code(""1"",""1""), code(""0"", ""0""))","MTCARS_PANEL","vs","coding(code(""1"",""straight""), code(""0"", ""v-shaped""))","Engine"
"am","Transmission","coding(code(""1"",""1""), code(""0"", ""0""))","MTCARS_PANEL","am","coding(code(""1"",""manual""), code(""0"", ""automatic""))","Transmission"
"gear","Number of forward gears","NA","MTCARS_PANEL","gear","NA","Number of forward gears"
"carb","Number of carburetors","NA","MTCARS_PANEL","carb","NA","Number of carburetors"
